LA00_CC_P AA3  G6
LA00_CC_N AA2   G7
LA01_CC_P AA4   D8
LA01_CC_N AB4   D9
LA02_P    AD1   H7
LA02_N    AE1   H8
LA03_P    AF5   G9
LA03_N    AF4   G10
LA04_P    V2    H10
LA04_N    V1    H11
LA05_P    AB1   D11
LA05_N    AC1   D12
LA06_P    AB6   C10
LA06_N    AC6   C11
LA07_P    W1    H13
LA07_N    Y1    H14
LA08_P    Y3    G12
LA08_N    Y2    G13
LA09_P    AE6   D14
LA09_N    AE5   D15
LA10_P    AC4   C14
LA10_N    AC3   C15
LA11_P    V4    H16
LA11_N    W4    H17
LA12_P    AF3   G15
LA12_N    AF2   G16
LA13_P    W6    D17
LA13_N    W5    D18
LA14_P    U2    C18
LA14_N    U1    C19
LA15_P    AB2   H19
LA15_N    AC2   H20
LA16_P    Y6    G18
LA16_N    Y5    G19
LA17_CC_P AB16  D20
LA17_CC_N AC16  D21
LA18_CC_P AC18  C22
LA18_CC_N AD18  C23
LA19_P    AF14  H22
LA19_N    AF15  H23
LA20_P    Y17   G21
LA20_N    Y18   G22
LA21_P    AC14  H25
LA21_N    AD14  H26
LA22_P    AF19  G24
LA22_N    AF20  G25
LA23_P    AD15  D23
LA23_N    AE15  D24
LA24_P    AB19  H28
LA24_N    AB20  H29
LA25_P    AD20  G27
LA25_N    AE20  G28
LA26_P    AE17  D26
LA26_N    AF17  D27
LA27_P    AA14  C26
LA27_N    AA15  C27
LA28_P    Y15   H31
LA28_N    Y16   H32
LA29_P    AA19  G30
LA29_N    AA20  G31
LA30_P    W15   H34
LA30_N    W16   H35
LA31_P    V14   G33
LA31_N    W14   G34
LA32_P    V16   H37
LA32_N    V17   H38
LA33_P    V18   G36
LA33_N    V19   G37
HA00_CC_P AC9   F4
HA00_CC_N AD9   F5
HA01_CC_P AA9   E2
HA01_CC_N AB9   E3
HA02_P    W10   K7
HA02_N    W9    K8
HA03_P    Y8    J6
HA03_N    Y7    J7
HA04_P    AE7   F7
HA04_N    AF7   F8
HA05_P    AA8   E6
HA05_N    AA7   E7
HA06_P    AD10  K10
HA06_N    AE10  K11
HA07_P    AB7   J9
HA07_N    AC7   J10
HA08_P    AC8   F10
HA08_N    AD8   F11
HA09_P    AF10  E9
HA09_N    AF9   E10
HA10_P    Y11   K13
HA10_N    Y10   K14
HA11_P    Y13   J12
HA11_N    Y12   J13
HA12_P    AD11  F13
HA12_N    AE11  F14
HA13_P    AE8   E12
HA13_N    AF8   E13
HA14_P    AC13  J15
HA14_N    AD13  J16
HA15_P    AA13  F16
HA15_N    AA12  F17
HA16_P    AB12  E15
HA16_N    AC12  E16
HA17_P    AB11  K16
HA17_N    AC11  K17
HA18_P    AA10  J18
HA18_N    AB10  J19
HA19_P    AE13  F19
HA19_N    AF13  F20
HA20_P    AE12  E18
HA20_N    AF12  E19
HA21_P    V11   K19
HA21_N    W11   K20
HA22_P    V9    J21
HA22_N    W8    J22
HA23_P    V8    K22
HA23_N    V7    K23
HB00_CC_P Y22   K25
HB00_CC_N AA22  K26
HB01_P    AD21  J24
HB01_N    AE21  J25
HB02_P    V21   F22
HB02_N    W21   F23
HB03_P    U22   E21
HB03_N    V22   E22
HB04_P    AE23  F25
HB04_N    AF23  F26
HB05_P    AE22  E24
HB05_N    AF22  E25
HB06_CC_P AC23  K28
HB06_CC_N AC24  K29
HB07_P    AB22  J27
HB07_N    AC22  J28
HB08_P    AB21  F28
HB08_N    AC21  F29
HB09_P    AD23  E27
HB09_N    AD24  E28
HB10_P    AF24  K31
HB10_N    AF25  K32
HB11_P    W23   J30
HB11_N    W24   J31
HB12_P    U24   F31
HB12_N    U25   F32
HB13_P    Y25   E30
HB13_N    Y26   E31
HB14_P    AD26  K34
HB14_N    AE26  K35
HB15_P    AD25  J33
HB15_N    AE25  J34
HB16_P    AB26  F34
HB16_N    AC26  F35
HB17_CC_P Y23   K37
HB17_CC_N AA24  K38
HB18_P    U26   J36
HB18_N    V26   J37
HB19_P    AA25  E33
HB19_N    AB25  E34
HB20_P    W25   F37
HB20_N    W26   F38
HB21_P    V23   E36
HB21_N    V24   E37
