LA00_CC_P  R21
LA00_CC_N  P21
LA01_CC_P  N21
LA01_CC_N  N22
LA02_P     R25
LA02_N     P25
LA03_P     R26
LA03_N     P26
LA04_P     U19
LA04_N     U20
LA05_P     T20
LA05_N     R20
LA06_P     N26
LA06_N     M26
LA07_P     P23
LA07_N     N23
LA08_P     T22
LA08_N     T23
LA09_P     P24
LA09_N     N24
LA10_P     P19
LA10_N     P20
LA11_P     M21
LA11_N     M22
LA12_P     R18
LA12_N     P18
LA13_P     K25
LA13_N     K26
LA14_P     U17
LA14_N     T17
LA15_P     M24
LA15_N     L24
LA16_P     M25
LA16_N     L25
LA17_CC_P  F22
LA17_CC_N  E23
LA18_CC_P  G22
LA18_CC_N  F23
LA19_P     G25
LA19_N     G26
LA20_P     J26
LA20_N     H26
LA21_P     H21
LA21_N     G21
LA22_P     H23
LA22_N     H24
LA23_P     G24
LA23_N     F24
LA24_P     C23
LA24_N     C24
LA25_P     D26
LA25_N     C26
LA26_P     E25
LA26_N     D25
LA27_P     E21
LA27_N     E22
LA28_P     A23
LA28_N     A24
LA29_P     B24
LA29_N     A25
LA30_P     B22
LA30_N     A22
LA31_P     D21
LA31_N     C22
LA32_P     B20
LA32_N     A20
LA33_P     C21
LA33_N     B21
