XXX Step=   1, 16bit: 000000, state: 0x01ff
XXX Step=   2, 16bit: 0x0001, state: 0x01fe
XXX Step=   3, 16bit: 0x0003, state: 0x01fc
XXX Step=   4, 16bit: 0x0007, state: 0x01f8
XXX Step=   5, 16bit: 0x000f, state: 0x01f0
XXX Step=   6, 16bit: 0x001f, state: 0x01e0
XXX Step=   7, 16bit: 0x003f, state: 0x01c1
XXX Step=   8, 16bit: 0x007f, state: 0x0183
XXX Step=   9, 16bit: 0x00ff, state: 0x0107
XXX Step=  10, 16bit: 0x01ff, state: 0x000f
XXX Step=  11, 16bit: 0x03fe, state: 0x001e
XXX Step=  12, 16bit: 0x07fc, state: 0x003d
XXX Step=  13, 16bit: 0x0ff8, state: 0x007b
XXX Step=  14, 16bit: 0x1ff0, state: 0x00f7
XXX Step=  15, 16bit: 0x3fe0, state: 0x01ef
XXX Step=  16, 16bit: 0x7fc1, state: 0x01df
Step=  16, 16bit: 0xff83, state: 0x01df
XXX Step=  17, 16bit: 0xff83, state: 0x01be
XXX Step=  18, 16bit: 0xff07, state: 0x017c
XXX Step=  19, 16bit: 0xfe0f, state: 0x00f8
XXX Step=  20, 16bit: 0xfc1e, state: 0x01f1
XXX Step=  21, 16bit: 0xf83d, state: 0x01e2
XXX Step=  22, 16bit: 0xf07b, state: 0x01c5
XXX Step=  23, 16bit: 0xe0f7, state: 0x018b
XXX Step=  24, 16bit: 0xc1ef, state: 0x0117
XXX Step=  25, 16bit: 0x83df, state: 0x002e
XXX Step=  26, 16bit: 0x07be, state: 0x005c
XXX Step=  27, 16bit: 0x0f7c, state: 0x00b9
XXX Step=  28, 16bit: 0x1ef8, state: 0x0173
XXX Step=  29, 16bit: 0x3df1, state: 0x00e6
XXX Step=  30, 16bit: 0x7be2, state: 0x01cc
XXX Step=  31, 16bit: 0xf7c5, state: 0x0199
XXX Step=  32, 16bit: 0xef8b, state: 0x0132
Step=  32, 16bit: 0xdf17, state: 0x0132
