86 78 86 38 68 27 68 27 68 27 68 27 68 27 28 27
43 39 86 39 68 27 68 27 3c 93 68 27 3c 27 3c 03
43 39 86 39 68 27 68 27 34 93 68 93 34 27 34 93
43 39 43 39 68 27 68 27 34 93 3c 93 34 27 34 93
43 39 43 39 68 27 68 27 34 93 34 93 34 23 34 93
43 39 43 39 68 27 68 27 34 93 34 93 34 93 34 93
43 39 43 39 68 27 28 13 34 93 34 93 34 93 34 93
43 39 43 39 34 b3 34 93 34 93 34 93 34 93 34 93
43 39 43 39 34 93 34 93 34 93 34 93 34 93 34 93
43 39 43 39 34 93 34 93 34 93 34 93 34 93 34 93
43 39 43 39 34 93 34 93 34 93 34 93 34 93 34 93
43 39 43 39 34 93 34 93 34 93 34 93 34 93 34 93
43 39 43 39 34 93 34 93 34 93 34 93 34 93 34 93
43 39 43 39 34 93 34 93 34 93 34 93 34 93 34 93
43 39 43 39 34 93 34 93 34 93 34 93 34 93 34 93
43 39 43 39 34 93 34 93 34 93 34 93 34 93 34 93
43 39 43 39 34 93 34 93 34 93 34 93 34 93 34 93
43 bd 43 bc 34 93 34 93 34 c3 34 93 14 93 10 93
a1 9c 43 9c 34 93 34 93 10 c9 34 d3 1a 93 1a c3
a1 9c 01 9c 34 93 34 93 18 c9 34 c9 1a 93 1a c9
a1 9c a1 9c 34 93 34 93 1a c9 38 c9 1a d3 1a c9
a1 9c a1 9c 34 93 34 93 1a c9 1a c9 1a c3 1a c9
a1 9c a1 9c 34 93 34 c3 1a c9 1a c9 1a c9 1a c9
a1 9c a1 9c 18 c3 18 c1 1a c9 1a c9 1a c9 1a c9
a1 9c a1 9c 1a c3 1a c9 1a c9 1a c9 1a c9 1a c9
a1 9c a1 9c 1a c9 1a c9 1a c9 1a c9 1a c9 1a c9
a1 9c a1 9c 1a c9 1a c9 1a c9 1a c9 1a c9 1a c9
a1 9c a1 9c 1a c9 1a c9 1a c9 1a c9 1a c9 1a c9
a1 9c a1 9c 1a c9 1a c9 1a c9 1a c9 1a c9 1a c9
a1 9c a1 9c 1a c9 1a c9 1a c9 1a c9 1a c9 1a c9
a1 9c a1 9c 1a c9 1a c9 1a c9 1a c9 1a c9 1a c9
a1 9c a1 9c 1a c9 1a c9 1a c9 1a c9 1a c9 1a c9
09 08 0a 08 0e 0f 0e 0e 09 08 0b 09 09 0c 09 09
